"Name","Question","Answer","Version","FileName"
"GlobalVariables","# Report header","$reportHeader = ""vCheck""","",".\\GlobalVariables.ps1"
"GlobalVariables","# Would you like the report displayed in the local browser once completed ?","$DisplaytoScreen = $true","",".\\GlobalVariables.ps1"
"GlobalVariables","# Display the report even if it is empty?","$DisplayReportEvenIfEmpty = $true","",".\\GlobalVariables.ps1"
"GlobalVariables","# Use the following item to define if an email report should be sent once completed","$SendEmail = $false","",".\\GlobalVariables.ps1"
"GlobalVariables","# Please Specify the SMTP server address (and optional port) [servername(:port)]","$SMTPSRV = ""mysmtpserver.mydomain.local""","",".\\GlobalVariables.ps1"
"GlobalVariables","# Would you like to use SSL to send email?","$EmailSSL = $false","",".\\GlobalVariables.ps1"
"GlobalVariables","# Please specify the email address who will send the vCheck report","$EmailFrom = ""me@mydomain.local""","",".\\GlobalVariables.ps1"
"GlobalVariables","# Please specify the email address(es) who will receive the vCheck report (separate multiple addresses with comma)","$EmailTo = ""me@mydomain.local""","",".\\GlobalVariables.ps1"
"GlobalVariables","# Please specify the email address(es) who will be CCd to receive the vCheck report (separate multiple addresses with comma)","$EmailCc = """"","",".\\GlobalVariables.ps1"
"GlobalVariables","# Please specify an email subject","$EmailSubject = ""$UcsDomain vCheck Report""","",".\\GlobalVariables.ps1"
"GlobalVariables","# Send the report by e-mail even if it is empty?","$EmailReportEvenIfEmpty = $true","",".\\GlobalVariables.ps1"
"GlobalVariables","# If you would prefer the HTML file as an attachment then enable the following:","$SendAttachment = $false","",".\\GlobalVariables.ps1"
"GlobalVariables","# Set the style template to use.","$Style = ""Cisco""","",".\\GlobalVariables.ps1"
"GlobalVariables","# Do you want to include plugin details in the report?","$reportOnPlugins = $true","",".\\GlobalVariables.ps1"
"GlobalVariables","# List Enabled plugins first in Plugin Report?","$ListEnabledPluginsFirst = $true","",".\\GlobalVariables.ps1"
"GlobalVariables","# Set the following setting to $true to see how long each Plugin takes to run as part of the report","$TimeToRun = $true","",".\\GlobalVariables.ps1"
"GlobalVariables","# Report on plugins that take longer than the following amount of seconds","$PluginSeconds = 30","",".\\GlobalVariables.ps1"
"Connection settings for UCS","# Please Specify the hostname or IP address of the UCS Domain to connect to:","$UcsDomain = ""192.168.0.0""","1.1","D:\Ryan\Documents\GitHub\vCheck-UCS\Plugins\00 Initialize\00 Connection Plugin for UCS.ps1"
"List of Recent Faults","# Do you want to see cleared events?","$ClearedEvents = $False ","1.0","D:\Ryan\Documents\GitHub\vCheck-UCS\Plugins\10 UCSM\00 Recent Faults.ps1"
"High Pool Utilization","# At what percent usage should pools be reported","$PoolUsedLimit = 80","1.0","D:\Ryan\Documents\GitHub\vCheck-UCS\Plugins\10 UCSM\02 High Pool Utilization.ps1"
"UCS Fault Retention Policy","# Minimum fault retention frequency (forever, days, hours, minutes, seconds):","$MinRetentionFrequency = 'days'","1.0","D:\Ryan\Documents\GitHub\vCheck-UCS\Plugins\10 UCSM\03 Fault Retention Policy.ps1"
"UCS Fault Retention Policy","# Duration pertaining to retention frequency (ie, '7' days):","[int]$MinRetentionValue = 7","1.0","D:\Ryan\Documents\GitHub\vCheck-UCS\Plugins\10 UCSM\03 Fault Retention Policy.ps1"
"Maintenance Policies","# Define the Maintenance Policy disruption setting (user-ack/immediate/timer-automatic):","$UptimeDisruption = 'user-ack'","1.0","D:\Ryan\Documents\GitHub\vCheck-UCS\Plugins\10 UCSM\04 Maintenance Policies.ps1"
